OBJECTID,ClassName,ClassValue,ORIG_FID,B2,B3,B4,B8,CMRI,EVI,GNDVI,NDVI,NDWI,SAVI,VV,GLCM_Mean,GLCM_Homogeinity,GLCM_Entropy,GLCM_Correlation
589,Water,7,739,0.073899999,0.085600004,0.0625,0.034000002,-0.726774871,-0.083357699,-0.431438118,-0.295336753,0.155975714,-0.071668059,-16.88061333,12.99285698,1.483833194,1.785063386,0.953275561
590,Water,7,742,0.058600001,0.076200001,0.047499999,0.053599998,-0.113777749,0.016961403,-0.174114048,0.060336292,0.232012942,0.01522209,-11.60395813,17.8571434,0.688485026,5.450867653,0.920541346
591,Water,7,744,0.064400002,0.071599998,0.0493,0.046999998,-0.231303617,-0.006687607,-0.207419902,-0.023883715,0.184449941,-0.005785683,-12.07596016,16.52142906,0.678322315,5.091230869,0.951576412
592,Water,7,745,0.066799998,0.0845,0.071000002,0.0911,0.161582932,0.049453788,0.037585422,0.123997517,0.086816706,0.04553692,-6.836207867,29.41428566,0.473309547,6.679023743,0.958062887
593,Water,7,746,0.070799999,0.081799999,0.071000002,0.101000004,0.27945146,0.075301208,0.105032846,0.174418598,0.070680603,0.066964291,-6.825183868,32.95000076,0.626276374,5.654744625,0.980128706
594,Water,7,747,0.064800002,0.0788,0.056200001,0.046,-0.362624824,-0.02842176,-0.262820512,-0.099804319,0.167407393,-0.025406845,-12.58562851,15.81428528,0.708826363,5.556910515,0.916462421
595,Water,7,748,0.0682,0.077,0.0568,0.0491,-0.293963075,-0.021914845,-0.221252963,-0.072710104,0.150971591,-0.019062551,-11.49217224,21.25714302,0.3693856,7.399835587,0.803691387
596,Water,7,749,0.068800002,0.085600004,0.070299998,0.042399999,-0.585059941,-0.073560432,-0.337500036,-0.24755989,0.098139867,-0.068304226,-17.80903244,16.01428604,0.855378747,4.657357693,0.828861535
597,Water,7,750,0.071800001,0.087899998,0.080499999,0.0548,-0.421903402,-0.064295009,-0.231955141,-0.189948261,0.043942984,-0.060679991,-22.36036682,7.978571415,1.118571401,3.330672026,0.956036866
598,Water,7,751,0.0766,0.095600002,0.080499999,0.045000002,-0.642754674,-0.093078129,-0.359886199,-0.282868505,0.08574675,-0.085131891,-22.20048714,9.507143021,1.083367825,3.442326069,0.949372828
599,Water,7,752,0.065399997,0.082599998,0.062199999,0.051199999,-0.331680387,-0.029446406,-0.234678626,-0.097001769,0.140883967,-0.02689925,-12.26102543,15.12142849,0.944154084,4.101482391,0.879759192
600,Water,7,753,0.059,0.072999999,0.053199999,0.059799999,-0.040990513,0.017618794,-0.099397592,0.058407079,0.15689382,0.016150082,-12.87879944,16.20000076,0.616216898,5.759699821,0.913791358
601,Water,7,754,0.076300003,0.089100003,0.075400002,0.052299999,-0.441147357,-0.061933625,-0.260254622,-0.180892751,0.083282679,-0.055201538,-14.17536163,14.95714283,0.948961675,3.745841265,0.872976601
602,Water,7,755,0.063600004,0.078199998,0.064999998,0.054200001,-0.271872848,-0.027915625,-0.181268856,-0.090604,0.092178777,-0.026162783,-12.49379349,14.61428547,0.96858263,4.138269901,0.972944736
603,Water,7,756,0.066,0.0814,0.063699998,0.056600001,-0.238729239,-0.018806944,-0.179710135,-0.059019096,0.121984854,-0.017169105,-11.88566399,15.19285679,1.138514519,3.443711996,0.97716397
604,Water,7,757,0.071900003,0.089199997,0.064499997,0.057799999,-0.268388748,-0.01849704,-0.213605434,-0.054783303,0.160702676,-0.016149763,-17.0516243,13.8214283,1.090365529,3.470613956,0.887989759
605,Water,7,761,0.0682,0.082000002,0.063600004,0.044500001,-0.473130971,-0.052208621,-0.296442688,-0.176688269,0.126373604,-0.04711397,-15.99821663,13.52142811,1.327245831,2.56848073,0.943617582
606,Water,7,762,0.065200001,0.083400004,0.060600001,0.0482,-0.381447822,-0.033593416,-0.267477214,-0.1139706,0.158333346,-0.030551909,-11.59269524,19.1428566,0.419158846,6.859871387,0.850634634
607,Water,7,763,0.077799998,0.095600002,0.086300001,0.066,-0.316457897,-0.050734781,-0.183168322,-0.133289561,0.051126998,-0.046680976,-13.44032764,16.17142868,0.637808442,5.529677391,0.877979398
608,Water,7,764,0.074000001,0.091600001,0.075900003,0.062399998,-0.287224323,-0.035054021,-0.189610407,-0.097613916,0.093731329,-0.031724907,-13.6475296,16.2142849,0.692937911,5.482025623,0.882193089
609,Water,7,765,0.076399997,0.090000004,0.077,0.056200001,-0.387346298,-0.055014804,-0.23119016,-0.156156138,0.077844337,-0.049273528,-10.81883717,18.5357151,0.918071568,4.766860485,0.846118569
610,Water,7,767,0.080399998,0.097199999,0.078599997,0.060800001,-0.358069807,-0.04788034,-0.23037973,-0.127690077,0.105802059,-0.041757889,-10.46077919,18.94285774,0.794370472,5.418202877,0.916405499
611,Water,7,768,0.076300003,0.091700003,0.075999998,0.057799999,-0.362779796,-0.04832457,-0.226755872,-0.136023909,0.093619585,-0.043073524,-13.864048,16.00714302,0.686049581,5.516814232,0.893801272
612,Water,7,769,0.071000002,0.0902,0.0722,0.057,-0.343190551,-0.039678399,-0.225543469,-0.117647059,0.110837437,-0.036236491,-11.99556541,16.86428642,0.691624343,5.175219059,0.929448009
613,Water,7,770,0.072300002,0.090000004,0.072400004,0.055399999,-0.370984644,-0.044852525,-0.237964258,-0.133020371,0.10837438,-0.040618043,-8.167672157,25.26428604,0.351682693,7.673608303,0.923558474
614,Water,7,771,0.072300002,0.083499998,0.060699999,0.0243,-0.977400422,-0.107533239,-0.54916513,-0.428235292,0.158113718,-0.093333334,-12.20386314,17.16428566,0.746525884,5.549930573,0.920538485
615,Water,7,772,0.072700001,0.085199997,0.057999998,0.0254,-0.931574464,-0.098412119,-0.540687144,-0.39088729,0.189944133,-0.083818987,-13.11259651,14.91428566,0.84504199,4.324356079,0.968926191
616,Water,7,774,0.075499997,0.091200002,0.076800004,0.040800001,-0.687940657,-0.096220665,-0.381818175,-0.306122452,0.085714273,-0.087435238,-12.82884407,14.04285717,0.915966392,3.736288309,0.971926868
617,Water,7,775,0.072800003,0.086800002,0.076399997,0.046599999,-0.543625772,-0.077685088,-0.301349342,-0.242276415,0.063725516,-0.07174959,-12.28775024,17.92142868,0.630496621,6.171122074,0.86261183
618,Water,7,776,0.075800002,0.0902,0.076200001,0.055199999,-0.400532633,-0.055620302,-0.240715265,-0.159817368,0.084134609,-0.04988914,-12.53292656,19.07857132,0.457371384,6.379963875,0.824572623
619,Water,7,781,0.074900001,0.089699998,0.082800001,0.053300001,-0.47129783,-0.074619316,-0.25454545,-0.21675238,0.039999988,-0.069564536,-16.35691452,14.70714283,1.073645592,3.46712327,0.901622772
620,Water,7,782,0.072999999,0.085699998,0.071699999,0.067599997,-0.14750205,-0.010786073,-0.118069157,-0.029432897,0.088945352,-0.009619902,-10.5020504,19.83571434,0.536119103,6.271094322,0.939050853
621,Water,7,783,0.070200004,0.081100002,0.057999998,0.045499999,-0.401973605,-0.03604383,-0.281200647,-0.120772943,0.1660676,-0.031068765,-10.3311348,22.51428604,0.44789204,6.816331387,0.869374096
622,Water,7,785,0.064300001,0.078000002,0.049699999,0.056000002,-0.104576431,0.01806297,-0.164179102,0.05960267,0.221613169,0.015601789,-10.18959236,20.91428566,0.41838634,6.998839378,0.87994349
623,Water,7,786,0.065200001,0.081200004,0.056400001,0.056499999,-0.17848976,0.000275963,-0.179375485,0.000885722,0.18023257,0.000244733,-11.20501709,19.22857094,0.459377885,7.003903866,0.872592986
624,Water,7,787,0.073700003,0.082999997,0.057599999,0.040800001,-0.511604011,-0.050380848,-0.340872347,-0.170731679,0.180654332,-0.042112295,-11.4815836,21.54999924,0.430345267,6.726520061,0.832599223
625,Water,7,788,0.072700001,0.088100001,0.076800004,0.052099999,-0.448397487,-0.063814409,-0.256776035,-0.191621438,0.068526365,-0.058912396,-15.75696564,13.02857113,0.830453694,5.17416811,0.9502877
626,Water,7,789,0.068599999,0.081600003,0.072300002,0.069600001,-0.098392583,-0.006825768,-0.07936509,-0.01902749,0.060428854,-0.006309396,-11.84145641,17.29285622,0.707659721,4.889582634,0.924270272
627,Water,7,790,0.07,0.083099999,0.0678,0.079400003,0.056035161,0.030170627,-0.022769203,0.078804366,0.101391636,0.026885049,-9.610834122,25.37142944,0.27403155,7.702167511,0.877511799
